ADM0_NAME,ADM0_CODE
Afghanistan,1
Aksai Chin,2
Albania,3
Algeria,4
American Samoa,5
Andorra,7
Angola,8
Anguilla,9
Antarctica,10
Antigua and Barbuda,11
Argentina,12
Armenia,13
Aruba,14
Arunachal Pradesh,15
Ashmore and Cartier Islands,16
Australia,17
Austria,18
Azerbaijan,19
Bahamas,20
Bahrain,21
Baker Island,22
Bangladesh,23
Barbados,24
Bassas da India,25
Belarus,26
Belgium,27
Belize,28
Benin,29
Bermuda,30
Bhutan,31
Bird Island,32
Bolivia,33
Bosnia and Herzegovina,34
Botswana,35
Bouvet Island,36
Brazil,37
British Indian Ocean Territory,38
British Virgin Islands,39
Brunei Darussalam,40
Bulgaria,41
Burkina Faso,42
Burundi,43
Cambodia,44
Cameroon,45
Canada,46
Cape Verde,47
Cayman Islands,48
Central African Republic,49
Chad,50
Chile,51
China,53
China/India,52
Christmas Island,54
Clipperton Island,55
Cocos (Keeling) Islands,56
Colombia,57
Comoros,58
Congo,59
Cook Islands,60
Costa Rica,61
Cote d'Ivoire,66
Croatia,62
Cuba,63
Cyprus,64
Czech Republic,65
Dem People's Rep of Korea,67
Democratic Republic of the Congo,68
Denmark,69
Dhekelia and Akrotiri SBA,40763
Djibouti,70
Dominica,71
Dominican Republic,72
Ecuador,73
Egypt,40765
El Salvador,75
Equatorial Guinea,76
Eritrea,77
Estonia,78
Ethiopia,79
Europa Island,80
Falkland Islands (Malvinas),81
Faroe Islands,82
Fiji,83
Finland,84
France,85
French Guiana,86
French Polynesia,87
French Southern and Antarctic Territories,88
Gabon,89
Gambia,90
Georgia,92
Germany,93
Ghana,94
Gibraltar,95
Glorioso Island,96
Greece,97
Greenland,98
Grenada,99
Guadeloupe,100
Guam,101
Guatemala,103
Guernsey,104
Guinea,106
Guinea-Bissau,105
Guyana,107
Haiti,108
Hala'ib triangle,40760
Heard Island and McDonald Islands,109
Holy See,110
Honduras,111
Hong Kong,33364
Howland Island,112
Hungary,113
Iceland,114
India,115
Indonesia,116
Iran  (Islamic Republic of),117
Iraq,118
Ireland,119
Isle of Man,120
Israel,121
Italy,122
Jamaica,123
Jammu and Kashmir,40781
Japan,126
Jarvis Island,127
Jersey,128
Johnston Atoll,129
Jordan,130
Juan de Nova Island,131
Kazakhstan,132
Kenya,133
Kingman Reef,134
Kiribati,135
Kuril islands,136
Kuwait,137
Kyrgyzstan,138
Lao People's Democratic Republic,139
Latvia,140
Lebanon,141
Lesotho,142
Liancourt Rock,143
Liberia,144
Libya,145
Liechtenstein,146
Lithuania,147
Luxembourg,148
Ma'tan al-Sarra,40762
Macau,149
Madagascar,150
Madeira Islands,151
Malawi,152
Malaysia,153
Maldives,154
Mali,155
Malta,156
Marshall Islands,157
Martinique,158
Mauritania,159
Mauritius,160
Mayotte,161
Mexico,162
Micronesia (Federated States of),163
Midway Island,164
Moldova Republic of,165
Monaco,166
Mongolia,167
Montenegro,2647
Montserrat,168
Morocco,169
Mozambique,170
Myanmar,171
Namibia,172
Nauru,173
Navassa Island,174
Nepal,175
Netherlands,177
Netherlands Antilles,176
New Caledonia,178
New Zealand,179
Nicaragua,180
Niger,181
Nigeria,182
Niue,183
Norfolk Island,184
Northern Mariana Islands,185
Norway,186
Oman,187
Pakistan,188
Palau,189
Palmyra Atoll,190
Panama,191
Papua New Guinea,192
Paracel Islands,193
Paraguay,194
Peru,195
Philippines,196
Pitcairn,197
Poland,198
Portugal,199
Puerto Rico,200
Qatar,201
Republic of Korea,202
R?union,206
Romania,203
Russian Federation,204
Rwanda,205
Saint Helena,207
Saint Kitts and Nevis,208
Saint Lucia,209
Saint Pierre et Miquelon,210
Saint Vincent and the Grenadines,211
Samoa,212
San Marino,213
Sao Tome and Principe,214
Saudi Arabia,215
Scarborough Reef,216
Senegal,217
Senkaku Islands,218
Serbia,2648
Seychelles,220
Sierra Leone,221
Singapore,222
Slovakia,223
Slovenia,224
Solomon Islands,225
Somalia,226
South Africa,227
South Georgia and the South Sandwich Islands,228
South Sudan,70001
Spain,229
Spratly Islands,230
Sri Lanka,231
State of Palestine,999
Sudan,40764
Suriname,233
Svalbard and Jan Mayen Islands,234
Swaziland,235
Sweden,236
Switzerland,237
Syrian Arab Republic,238
Tajikistan,239
Thailand,240
The former Yugoslav Republic of Macedonia,241
Timor-Leste,242
Togo,243
Tokelau,244
Tonga,245
Trinidad and Tobago,246
Tromelin Island,247
Tunisia,248
Turkey,249
Turkmenistan,250
Turks and Caicos islands,251
Tuvalu,252
U.K. of Great Britain and Northern Ireland,256
Uganda,253
Ukraine,254
United Arab Emirates,255
United Republic of Tanzania,257
United States of America,259
United States Virgin Islands,258
Uruguay,260
Uzbekistan,261
Vanuatu,262
Venezuela,263
Viet Nam,264
Wake Island,265
Wallis and Futuna,266
Western Sahara,268
Yemen,269
Zambia,270
Zimbabwe,271
